Time,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,surge,heave,pitch
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.00803881,0,0,-0.000001,-0.000001,0,0,0.000022,-0.000001,-0.000001,0,-0.000001,0,-0.000001,0,0,0.0000311,-9.31E-11,0
0.0160261,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,0.000008,0.000062,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,-0.000004,0.000026,-0.000004,-0.000057,-3.68E-10,0
0.0240271,-0.00035,-0.00035,-0.000349,-0.00035,-0.000348,-0.000314,-0.000292,-0.00035,-0.00035,-0.000214,-0.00034,-0.00035,-0.00035,-0.000302,-0.00035,-0.0000898,-1.55E-10,0
0.0320192,-0.001005,-0.001005,-0.000849,-0.001003,-0.000991,-0.001001,-0.000963,-0.000971,-0.001005,-0.000339,-0.000988,-0.001005,-0.001004,-0.000975,-0.001001,0.00000669,9.08E-11,0
0.0400656,-0.0009,-0.00093,-0.000499,-0.000921,-0.000932,-0.000958,-0.000913,-0.000648,-0.000931,-0.000299,-0.000937,-0.000928,-0.000848,-0.000938,-0.000924,0.0000936,-1.27E-09,0
0.0480254,-0.000523,-0.00068,-0.000363,-0.000691,-0.000712,-0.000678,-0.000645,-0.000421,-0.000665,-0.000281,-0.000697,-0.000686,-0.000488,-0.000663,-0.000701,0.0000374,-2.32E-09,0
0.0560242,-0.000867,-0.001007,-0.000774,-0.001073,-0.001054,-0.00103,-0.000986,-0.000946,-0.000975,-0.000418,-0.001059,-0.001066,-0.000934,-0.001009,-0.001056,-0.000154,-0.000000115,-0.0000194
0.0640528,-0.001511,-0.001409,-0.001027,-0.001455,-0.001454,-0.00146,-0.001427,-0.001282,-0.001513,-0.000577,-0.001461,-0.001446,-0.001411,-0.001453,-0.001463,-0.000177,-9.21E-08,-0.000026
0.0720095,-0.001654,-0.001779,-0.001097,-0.001653,-0.001687,-0.00169,-0.001651,-0.001346,-0.001747,-0.000634,-0.001704,-0.001738,-0.001531,-0.001681,-0.00169,-0.000139,0.000000676,0.000295
0.080029,-0.001483,-0.001791,-0.001112,-0.001795,-0.001752,-0.001749,-0.001703,-0.001328,-0.001615,-0.000659,-0.001755,-0.001808,-0.001438,-0.001744,-0.001798,-0.00000992,0.00000109,0.000307
